,Unnamed: 0,original,pre_processed_text,time_parsed,sentiments,predictions
0,0,I'm using 7a right now but I find the front camera very blurry both pictures and videos. My old oneplus nordn10 is way better in selfie mode. Is there anything I have to do or adjust to improve it? Thanks,i am using 7a right now but i find the front camera very blurry both picture and videos. my old oplus nord10 is way better in selfie mode. is there anything i have to do or adjust to improve it thanks,1686167647.105148,Positive,miscellaneous
1,1,What about the weight compared to the Pixel 7?,what about the weight compared to the pixel 7,1686149647.113599,Neutral,miscellaneous
2,2,I want to buy the phone from you,i want to buy the phone from you,1686113647.115407,Positive,miscellaneous
3,3,Is plastic back support wireless charging?,is plastic back support wireless charging,1686113647.11715,Neutral,interrogative
4,4,"on average, how many time does marques say the word ""but"" in a video 🤔","on average, how many time doe marque say the word but in a video",1686113647.118885,Neutral,miscellaneous
5,5,Both Pixel 7 and 7a are priced at CA$599 in the Canadian Google Store... so who's buying the 7a?,both pixel 7 and 7a are priced at ca$599 in the canadian google store. so who is buying the 7a,1686113647.120611,Neutral,miscellaneous
6,6,:trophy-yellow-smiling:,trophy yellow smiling:,1686027247.12233,Neutral,others
7,7,why the pixel 7 cameras better than 7a? As i saw description pixel 7a has better camera. More megapixels...,why the pixel 7 camera better than 7a a i saw description pixel 7a ha better camera. more megapixel.,1686027247.124039,Neutral,miscellaneous
8,8,Didn't the A line originally start at $400 too?,did not the a line originally start at $400 too,1686027247.125761,Neutral,miscellaneous
9,9,"I was a best buy checking out 7A and noticed the phone dropping frames at some points as well. Now that you told me they didn't turn on the 90 hertz is still dumb in my opinion. Imagine someone wants to buy this phones and checks out at the stores, not everyone knows that it's disabled in settings. Google, what are you doing purposely shooting yourselves in foot.","i wa a best buy checking out 7a and noticed the phone dropping frame at some point a well. now that you told me they did not turn on the 90 her is still dumb in my opinion. imagine someone want to buy this phone and check out at the stores, not everyone know that it is disabled in settings. google, what are you doing purposely shooting yourselves in foot.",1686027247.127465,Negative,miscellaneous
10,10,"$500 for a phone with a 90hz screen and no headphone jack.
LOL what a ripoff. 😂
Since the 5a google started going the Apple way and make overpriced garbage. GGs google. WP.",$500 for a phone with a 90hz screen and no headphone jack. lol what a runoff. since the 5a google started going the apple way and make overpriced garbage. gas google. wp.,1686027247.129213,Negative,miscellaneous
11,11,I can't wait for Google to drop the Pixel 8 after these two full Google experimenting 'cos I know that's going to be my new phone!,i cannot wait for google to drop the pixel 8 after these two full google experimenting 'cos i know that is going to be my new phone!,1686027247.130914,Positive,miscellaneous
